elevator,rooms,address,price,size
 con ascensore,2 ,"Bilocale in corso genova, Navigli-Porta Genova, Milano",1.000,60 
 ,2 ,"Bilocale in via bigli, Brera-Montenapoleone, Milano",2.750,120 
 con ascensore,4 ,"Quadrilocale in via borgogna, Vittorio Emanuele-Augusto, Milano",3.500,160 
 con ascensore,5 ,"Appartamento in via giosuè carducci, San Vittore-Washington, Milano",5.333,300 
 con ascensore,2 ,"Bilocale in piazza santo stefano, Vittorio Emanuele-Augusto, Milano",1.833,80 
 con ascensore,3 ,"Trilocale in via ciovasso, Brera-Montenapoleone, Milano",2.000,95 
 con ascensore,3 ,"Trilocale in via antonio fogazzaro, Cinque Giornate-Montenero-Libia, Milano",1.160,90 
 con ascensore,3 ,"Trilocale in via nino bixio, Vittuone",550,100 
,2 ,"Bilocale in via volontari della libertà, Vittuone",500,75 
 con ascensore,5 ,"Appartamento in via morigi, Zona Sant`Ambrogio-Università Cattolica, Milano",3.500,220 
 con ascensore,,"Monolocale in via lombardia, Buccinasco",600,48 
 con ascensore,,"Monolocale in via san mansueto, Bligny-Toscana, Milano",660,22 
,,"Monolocale in via masaccio, Parabiago",450,40 
 con ascensore,3 ,"Trilocale in via nino bixio, Vittuone",550,100 
,2 ,"Bilocale in via volontari della libertà, Vittuone",500,75 
 con ascensore,5 ,"Appartamento in via morigi, Zona Sant`Ambrogio-Università Cattolica, Milano",3.500,220 
 con ascensore,,"Monolocale in via lombardia, Buccinasco",600,48 
 con ascensore,,"Monolocale in via san mansueto, Bligny-Toscana, Milano",660,22 
,,"Monolocale in via masaccio, Parabiago",450,40 
 con ascensore,,"Monolocale in via nicola antonio porpora, 14, Romagna, Milano",650,25 
 con ascensore,6 ,"Appartamento in via sant'antonio maria zaccaria, Tribunale, Milano",3.350,220 
 con ascensore,4 ,"Quadrilocale in via lorenteggio, Lorenteggio-Giambellino, Milano",1.100,100 
 con ascensore,5 ,"Appartamento in foro buonaparte, Duomo-Castello, Milano",3.400,250 
 con ascensore,5 ,"Appartamento in via giovanni mayr, Palestro, Milano",5.416,300 
 con ascensore,4 ,"Quadrilocale in via angelo filippetti, Mercalli-Quadronno, Milano",2.500,190 
 con ascensore,2 ,"Bilocale in via antonio fogazzaro, Cinque Giornate-Montenero-Libia, Milano",1.108,70 
,2 ,"Bilocale in ripa di porta ticinese, Navigli-Porta Genova, Milano",750,30 
,2 ,"Bilocale in via della repubblica, Novate Milanese",1.000,35 
,2 ,"Bilocale in via guglielmo rontgen, Bligny-Toscana, Milano",1.470,25 
,2 ,"Bilocale in via della repubblica, Novate Milanese",900,25 
,2 ,"Bilocale in via melchiorre delfico, Govone, Milano",1.600,60 
,,"Monolocale in via della repubblica, Novate Milanese",800,15 
,2 ,"Bilocale in piazza cinque giornate, Palestro, Milano",2.400,120 
,,"Monolocale in via leo longanesi, Brenta, Milano",1.650,40 
,2 ,"Bilocale in via giuseppe bardelli, Città Studi, Milano",1.315,45 
,2 ,"Bilocale in alzaia naviglio pavese, Cermenate-Meda, Milano",2.280,40 
,2 ,"Bilocale in via cesare da sesto, Navigli-Porta Genova, Milano",3.200,35 
 con ascensore,2 ,"Bilocale in via zurigo, 24, Inganni, Milano",900,60 
 con ascensore,2 ,"Bilocale in via giulio carcano, Cermenate-Meda, Milano",950,70 
,3 ,"Appartamento su due piani in via morona, Trezzano sul Naviglio",830,85 
 con ascensore,3 ,"Trilocale in corso sempione, Sempione, Milano",1.833,105 
 senza ascensore,2 ,"Bilocale in Palmieri, s.n.c, Chiesa Rossa, Milano",600,45 
 senza ascensore,2 ,"Bilocale in via Previati, 33, Fiera, Milano",750,60 
,2 ,"Bilocale in via paris bordone, Fiera, Milano",1.000,25 
 con ascensore,2 ,"Bilocale in via marcello prestinari, Dergano, Milano",600,55 
 con ascensore,2 ,"Bilocale in via del bollo, Vetra-Missori, Milano",900,60 
 con ascensore,2 ,"Bilocale in via del Futurismo, 1, Rogoredo-Santa Giulia, Milano",850,75 
 con ascensore,4 ,"Quadrilocale in via emilio morosini, Cinque Giornate-Montenero-Libia, Milano",2.650,120 
 con ascensore,,"Monolocale in via del bollo, Vetra-Missori, Milano",900,62 
,,"Monolocale in via giovanni pascoli, Romagna, Milano",1.000,30 
,2 ,"Bilocale in via marcantonio dal re, Accursio, Milano",990,25 
,2 ,"Bilocale in via carlo imbonati, Dergano, Milano",830,25 
,2 ,"Bilocale in via dei cignoli, Accursio, Milano",750,50 
,2 ,"Bilocale in via san gimignano, Soderini, Milano",700,25 
,2 ,"Bilocale in via tunisia, Centrale, Milano",850,65 
,2 ,"Bilocale in via lazio, Cinque Giornate-Montenero-Libia, Milano",2.060,110 
,2 ,"Bilocale in via madonnina, Brera-Montenapoleone, Milano",1.400,65 
,2 ,"Bilocale in via teodosio, Teodosio-Porpora, Milano",945,25 
 senza ascensore,2 ,Bilocale a Magenta,550,70 
 con ascensore,3 ,"Trilocale in via piceno, Indipendenza-Regina Giovanna, Milano",1.800,110 
 con ascensore,,"Attico in via balilla, Bligny-Toscana, Milano",980,35 
 con ascensore,2 ,"Bilocale in via monte cervino, Fiera, Milano",800,50 
 con ascensore,3 ,"Trilocale in via vittoria colonna, Fiera, Milano",1.800,110 
,6 ,"Villetta a schiera in via dante alighieri, Basiglio",2.500,220 
 con ascensore,5 ,"Appartamento in via eugenio curiel, Centro, Sesto San Giovanni",1.300,180 
 con ascensore,3 ,"Trilocale in via vincenzo monti, Ariosto-Magenta, Milano",1.700,100 
 con ascensore,3 ,"Trilocale in largo cavalieri di malta, Soderini, Milano",825,50 
 con ascensore,3 ,"Trilocale in via salvatore barzilai, Soderini, Milano",630,65 
 con ascensore,2 ,"Bilocale in via solferino, Moscova-Repubblica, Milano",1.300,100 
 con ascensore,3 ,"Trilocale in via privata farnese, San Vittore-Washington, Milano",1.950,145 
,,"Monolocale in via tofane, 35, Gorla, Milano",550,45 
 con ascensore,2 ,"Bilocale in via guglielmo rontgen, 2, Bligny-Toscana, Milano",1.300,35 
 con ascensore,3 ,"Trilocale in papa giovanni 23, Sedriano",600,110 
 con ascensore,3 ,"Trilocale in papa giovanni 23, Sedriano",600,110 
 con ascensore,3 ,"Trilocale in via marco polo, Moscova-Repubblica, Milano",1.600,120 
 ,2 ,"Bilocale in via santa cecilia, Vittorio Emanuele-Augusto, Milano",1.830,55 
 con ascensore,3 ,"Trilocale in corso venezia, Palestro, Milano",2.300,100 
 con ascensore,,"Monolocale in piazza andrea fusina, 1, Argonne-Corsica, Milano",600,30 
 con ascensore,,"Monolocale in via gallarate, Accursio, Milano",550,35 
 senza ascensore,2 ,"Bilocale in via gabriele d'annunzio, Cesano Boscone",750,75 
 con ascensore,2 ,"Bilocale in Aristotele, 1, Gorla, Milano",700,65 
,2 ,"Bilocale in via antonio tolomeo trivulzio, 3, San Vittore-Washington, Milano",800,60 
 con ascensore,2 ,"Bilocale in via cenisio, 78, Govone, Milano",700,50 
 con ascensore,3 ,"Trilocale in via lomellina, Argonne-Corsica, Milano",1.500,100 
 con ascensore,2 ,"Bilocale in via antonio gramsci, Novate Milanese",600,60 
 con ascensore,3 ,"Trilocale in via toce, Garibaldi-Isola, Milano",1.600,110 
 con ascensore,3 ,"Trilocale in via fabio filzi, Peschiera Borromeo",850,90 
,2 ,"Bilocale in via aleardo aleardi, Cenisio-Sarpi, Milano",2.000,198 
 con ascensore,3 ,"Trilocale in largo giambellino, 120, Lorenteggio-Giambellino, Milano",1.000,100 
 con ascensore,2 ,"Bilocale in via guglielmo marconi, Cusano Milanino",550,64 
,2 ,"Bilocale in via fiori chiari, Brera-Montenapoleone, Milano",1.350,50 
,2 ,"Bilocale in via martiri oscuri, Brianza-Pasteur, Milano",1.300,25 
,2 ,"Bilocale in via eugenio vaina, Mercalli-Quadronno, Milano",1.100,25 
,4 ,"Quadrilocale in largo M. Giulia Amigazzi, 15, Rescaldina",650,120 
 con ascensore,2 ,"Bilocale in via don luigi sturzo, Gorgonzola",700,65 
,2 ,"Bilocale in via della chiesa rossa, Gratosoglio, Milano",1.445,25 
 senza ascensore,3 ,"Trilocale in piazza aspromonte, s.n.c, Romagna, Milano",1.100,85 
 con ascensore,2 ,"Bilocale in corso di porta nuova, Moscova-Repubblica, Milano",1.750,90 
 con ascensore,2 ,"Bilocale in via certosa, Varesina-Testori, Milano",700,60 
 con ascensore,4 ,"Quadrilocale in via gran sasso, Romagna, Milano",1.650,130 
 senza ascensore,2 ,"Bilocale in piazza aspromonte, Romagna, Milano",800,65 
,,"Monolocale in piazza aspromonte, Romagna, Milano",550,35 
,2 ,"Bilocale in piazza grandi, 4, Martini-Cuoco, Milano",900,66 
 con ascensore,3 ,"Trilocale in via festa del perdono, Vittorio Emanuele-Augusto, Milano",2.080,120 
 con ascensore,2 ,"Bilocale in via madonna pellegrina, s.n.c, Bareggio",450,60 
 senza ascensore,3 ,"Trilocale in via crema, Bligny-Toscana, Milano",1.500,90 
 con ascensore,3 ,"Trilocale in Petrocchi, 38, Gorla, Milano",1.000,85 
 con ascensore,3 ,"Trilocale in via teuliè, Bligny-Toscana, Milano",1.350,100 
 con ascensore,2 ,"Bilocale in via domenico cucchiari, Govone, Milano",665,75 
 con ascensore,2 ,"Bilocale in via clerici, s.n.c, Duomo-Castello, Milano",1.400,65 
 con ascensore,3 ,"Trilocale in via matteo bandello, San Vittore-Washington, Milano",1.425,95 
 senza ascensore,3 ,"Trilocale in matteotti, Binasco",570,90 
 con ascensore,3 ,"Trilocale in via leopardi, Opera",900,100 
 con ascensore,2 ,"Bilocale in Dergano, Milano",1.600,65 
 senza ascensore,2 ,"Bilocale in via eugenio torelli viollier, Greco-Villaggio dei Giornalisti, Milano",850,75 
 con ascensore,3 ,"Trilocale in via carlo vittadini, Bligny-Toscana, Milano",600,100 
 con ascensore,5 ,"Appartamento in Morgantini, Milano",2.000,200 
 con ascensore,2 ,"Bilocale in Palestro, Milano",2.167,117 
 con ascensore,,"Monolocale in via santa sofia, 21, Vetra-Missori, Milano",1.050,32 
 senza ascensore,2 ,"Appartamento su due piani in via gaetano de castillia, Garibaldi-Isola, Milano",1.250,60 
 con ascensore,2 ,"Bilocale in via vobarno, Pelucca-Villaggio Falck, Sesto San Giovanni",700,60 
 senza ascensore,2 ,"Bilocale in via emilio gola, 16, Navigli-Porta Genova, Milano",730,50 
 con ascensore,2 ,"Bilocale in corso di porta vittoria, Tribunale, Milano",1.100,40 
,2 ,"Bilocale in via san domenico, Bollate",570,55 
,2 ,"Bilocale in via san domenico, Bollate",540,55 
 senza ascensore,,"Monolocale in via firenze, s.n.c, Rondò-Torretta, Sesto San Giovanni",470,25 
,2 ,"Bilocale in via monferrato, San Vittore-Washington, Milano",1.040,65 
 con ascensore,4 ,"Quadrilocale in via monte nero, 34, Cinque Giornate-Montenero-Libia, Milano",2.650,165 
,2 ,"Bilocale in via gentilino, Bligny-Toscana, Milano",730,35 
,3 ,"Trilocale in via paolo giovio, San Vittore-Washington, Milano",1.600,90 
 con ascensore,2 ,"Bilocale in via giovanni keplero, Greco-Villaggio dei Giornalisti, Milano",850,50 
 con ascensore,2 ,"Bilocale in via filippino lippi, Romagna, Milano",900,50 
 con ascensore,3 ,"Trilocale in via piave, Indipendenza-Regina Giovanna, Milano",1.660,85 
 con ascensore,4 ,"Quadrilocale in via monte nero, 34, Cinque Giornate-Montenero-Libia, Milano",2.650,165 
,2 ,"Bilocale in via gentilino, Bligny-Toscana, Milano",730,35 
,3 ,"Trilocale in via paolo giovio, San Vittore-Washington, Milano",1.600,90 
 con ascensore,2 ,"Bilocale in via giovanni keplero, Greco-Villaggio dei Giornalisti, Milano",850,50 
 con ascensore,2 ,"Bilocale in via filippino lippi, Romagna, Milano",900,50 
 con ascensore,3 ,"Trilocale in via piave, Indipendenza-Regina Giovanna, Milano",1.660,85 
 con ascensore,2 ,"Attico in via martin luther king, La Flora-Parco Alto Milanese, Legnano",600,45 
 ,2 ,"Bilocale in via piacenza, Bligny-Toscana, Milano",790,55 
 ,2 ,"Bilocale in via piacenza, Bligny-Toscana, Milano",790,55 
 senza ascensore,,"Monolocale in via giovanni paisiello, s.n.c, Romagna, Milano",550,25 
 con ascensore,2 ,"Bilocale in via attilio deffenu, Romagna, Milano",660,55 
,3 ,"Trilocale in via paolo giovio, San Vittore-Washington, Milano",1.600,90 
 con ascensore,2 ,"Bilocale in via lazzaro papi, Cinque Giornate-Montenero-Libia, Milano",800,40 
 con ascensore,3 ,"Trilocale in via ruggiero settimo, San Vittore-Washington, Milano",1.300,95 
 senza ascensore,2 ,"Bilocale in strada statale 33 del sempione, s.n.c, Pero",480,36 
 senza ascensore,4 ,"Quadrilocale in via filippino lippi, 29, Romagna, Milano",1.350,120 
 con ascensore,2 ,"Bilocale in piazza giuseppe grandi, s.n.c, Martini-Cuoco, Milano",1.000,65 
,4 ,"Quadrilocale in via romolo, s.n.c, Navigli-Porta Genova, Milano",2.500,120 
 con ascensore,3 ,"Trilocale in ugo bassi, s.n.c, Garibaldi-Isola, Milano",1.650,110 
,2 ,"Bilocale in via giuseppe candiani, Dergano, Milano",600,60 
,3 ,"Villa in via olmo, Cernusco sul Naviglio",1.000,90 
 con ascensore,3 ,"Trilocale in via ariberto, Navigli-Porta Genova, Milano",2.167,130 
,3 ,"Trilocale in via bruno maderna, s.n.c, Mecenate, Milano",1.000,95 
 con ascensore,2 ,"Bilocale in via rugabella, s.n.c, Vetra-Missori, Milano",1.500,60 
,2 ,"Bilocale in via rosselli, s.n.c, Sulmona, Milano",800,60 
 con ascensore,2 ,"Bilocale in via giovanni antonio amadeo, 30, Città Studi, Milano",550,50 
 con ascensore,3 ,"Trilocale in piazza aspromonte, 24, Romagna, Milano",900,85 
 con ascensore,2 ,"Bilocale in Accursio, Milano",580,53 
 ,2 ,"Bilocale in via fratelli cervi, Trezzano Rosa",550,55 
,2 ,Bilocale a Gaggiano,700,80 
 con ascensore,2 ,"Bilocale in via dei transiti, Brianza-Pasteur, Milano",725,55 
,2 ,"Bilocale in via niccolò jommelli, Teodosio-Porpora, Milano",700,40 
 con ascensore,2 ,"Bilocale in via scaldasole, 4, Navigli-Porta Genova, Milano",1.100,55 
 con ascensore,2 ,"Bilocale in via dei transiti, Brianza-Pasteur, Milano",665,65 
 con ascensore,3 ,"Trilocale in via dei transiti, Brianza-Pasteur, Milano",1.040,90 
 con ascensore,2 ,"Bilocale in via dei transiti, Brianza-Pasteur, Milano",690,65 
 con ascensore,3 ,"Trilocale in via marghera, Ariosto-Magenta, Milano",2.442,100 
,,"Monolocale in via marco greppi, s.n.c, Martini-Cuoco, Milano",700,38 
 senza ascensore,,"Monolocale in via nicola antonio porpora, Romagna, Milano",650,25 
 con ascensore,4 ,"Quadrilocale in piazzale di porta lodovica, Bligny-Toscana, Milano",2.000,140 
 con ascensore,4 ,"Quadrilocale in via edmondo de amicis, Navigli-Porta Genova, Milano",2.650,170 
 con ascensore,5 ,"Appartamento in via sant'andrea, Brera-Montenapoleone, Milano",5.000,150 
 con ascensore,3 ,"Trilocale in via meli, 18, Crescenzago, Milano",750,78 
 senza ascensore,2 ,"Bilocale in piazza Aspromonte, Romagna, Milano",700,50 
 con ascensore,6 ,"Appartamento in piazza della repubblica, Moscova-Repubblica, Milano",2.900,180 
 con ascensore,2 ,"Bilocale in via Achille Zezon, s.n.c, Centrale, Milano",1.100,65 
 con ascensore,2 ,"Bilocale in via pier della francesca, Trezzano sul Naviglio",600,65 
 con ascensore,3 ,"Trilocale in via sante giovannelli, Legnarello-Frati-Olmina, Legnano",500,95 
,2 ,"Bilocale in via roma, Segrate Centro, Segrate",700,50 
 con ascensore,2 ,"Bilocale in via rosa vergani marelli, Soderini, Milano",680,70 
 con ascensore,3 ,"Trilocale in via lorenzo di credi, 10, Fiera, Milano",850,80 
 con ascensore,3 ,"Trilocale in piazza della repubblica, Moscova-Repubblica, Milano",1.600,100 
 con ascensore,2 ,"Bilocale in via tavazzano, Accursio, Milano",950,69 
 con ascensore,4 ,"Quadrilocale in piazza leonardo da vinci, Città Studi, Milano",2.200,130 
 con ascensore,3 ,"Trilocale in Martini-Cuoco, Milano",1.300,85 
 con ascensore,3 ,"Trilocale in via fornari, 18, Bande Nere, Milano",720,82 
 senza ascensore,2 ,"Bilocale in de alessandri, 9, San Vittore-Washington, Milano",1.000,75 
 ,2 ,"Bilocale in via lodovico settala, Centrale, Milano",800,45 
 ,2 ,"Bilocale in corso san gottardo, Bligny-Toscana, Milano",950,70 
 con ascensore,2 ,"Bilocale in piazza santo stefano, 10, Vittorio Emanuele-Augusto, Milano",1.700,80 
 con ascensore,3 ,"Trilocale in via palmanova, Crescenzago, Milano",934,70 
 con ascensore,9 ,"Appartamento in via g. serbelloni, 7, Palestro, Milano",8.333,370 
 con ascensore,11 ,"Appartamento in via g. serbelloni, 7, Palestro, Milano",8.333,340 
 con ascensore,2 ,"Bilocale in via sabotino, Bligny-Toscana, Milano",950,45 
 con ascensore,4 ,"Attico in Vittorio Emanuele-Augusto, Milano",3.000,39 
 senza ascensore,4 ,"Quadrilocale in largo giuseppe ungaretti, Arese",1.200,140 
 senza ascensore,3 ,"Trilocale in via marchese corrado, Garbagnate Milanese",550,100 
 con ascensore,2 ,"Bilocale in via friuli, 9, Cinque Giornate-Montenero-Libia, Milano",800,50 
 con ascensore,,"Monolocale in piazza della repubblica, Moscova-Repubblica, Milano",1.000,50 
 ,3 ,"Trilocale in via del Ciliegio, Villaggio Ambrosiano, Segrate",800,80 
 ,2 ,"Bilocale in piazza indipendenza, Parabiago",450,45 
 con ascensore,3 ,"Trilocale in via Lombardia, Bollate",550,105 
 con ascensore,,"Monolocale in via privata carlo antonio carlone, Bande Nere, Milano",460,18 
 senza ascensore,3 ,"Trilocale in via daniel bovet, s.n.c, Opera",770,150 
,3 ,"Trilocale in via daniel bovet, s.n.c, Opera",770,150 
 con ascensore,5 ,"Appartamento in via raimondo franchetti, Centrale, Milano",1.833,170 
,2 ,"Bilocale in via antonio fogazzaro, 9, Cinque Giornate-Montenero-Libia, Milano",1.350,69 
 con ascensore,6 ,"Appartamento in via francesco melzi d'eril, Sempione, Milano",2.600,200 
 con ascensore,5 ,"Appartamento in piazzale siena, Bande Nere, Milano",1.000,120 
 con ascensore,3 ,"Trilocale in via piave, Palestro, Milano",1.666,85 
 con ascensore,3 ,"Trilocale in via giulio e corrado venini, Brianza-Pasteur, Milano",1.700,95 
 con ascensore,3 ,"Trilocale in via tagliamento, San Donato Milanese",950,105 
,2 ,"Bilocale in via maffei, s.n.c, Cinque Giornate-Montenero-Libia, Milano",1.450,75 
 con ascensore,2 ,"Bilocale in corso magenta, Zona Sant`Ambrogio-Università Cattolica, Milano",1.875,70 
,3 ,"Trilocale in piazza della repubblica, Moscova-Repubblica, Milano",2.100,130 
 con ascensore,6 ,"Appartamento in via domenico cimarosa, San Vittore-Washington, Milano",4.000,250 
 con ascensore,3 ,"Trilocale in via adeodato ressi, Greco-Villaggio dei Giornalisti, Milano",950,100 
 con ascensore,3 ,"Trilocale in corso di p.ta vigentina, Mercalli-Quadronno, Milano",1.700,120 
,2 ,"Bilocale in via turati, Bollate",450,50 
 senza ascensore,2 ,"Bilocale in via giuseppe garibaldi, Bollate",530,55 
 con ascensore,6 ,"Appartamento in via francesco melzi d'eril, Sempione, Milano",2.600,200 
 con ascensore,5 ,"Appartamento in piazzale siena, Bande Nere, Milano",1.000,120 
 con ascensore,3 ,"Trilocale in via piave, Palestro, Milano",1.666,85 
 con ascensore,3 ,"Trilocale in via giulio e corrado venini, Brianza-Pasteur, Milano",1.700,95 
 con ascensore,3 ,"Trilocale in via tagliamento, San Donato Milanese",950,105 
,2 ,"Bilocale in via maffei, s.n.c, Cinque Giornate-Montenero-Libia, Milano",1.450,75 
 con ascensore,2 ,"Bilocale in corso magenta, Zona Sant`Ambrogio-Università Cattolica, Milano",1.875,70 
,3 ,"Trilocale in piazza della repubblica, Moscova-Repubblica, Milano",2.100,130 
 con ascensore,6 ,"Appartamento in via domenico cimarosa, San Vittore-Washington, Milano",4.000,250 
 con ascensore,3 ,"Trilocale in via adeodato ressi, Greco-Villaggio dei Giornalisti, Milano",950,100 
 con ascensore,3 ,"Trilocale in corso di p.ta vigentina, Mercalli-Quadronno, Milano",1.700,120 
,2 ,"Bilocale in via turati, Bollate",450,50 
 senza ascensore,2 ,"Bilocale in via giuseppe garibaldi, Bollate",530,55 
 senza ascensore,2 ,"Bilocale in via giuseppe garibaldi, Bollate",480,50 
 con ascensore,6 ,"Appartamento in via francesco melzi d'eril, Sempione, Milano",2.700,200 
 con ascensore,,"Monolocale in via francesco guicciardini, Indipendenza-Regina Giovanna, Milano",800,38 
 con ascensore,6 ,"Appartamento in via dei ciclamini, Inganni, Milano",2.100,180 
 con ascensore,8 ,"Appartamento in Moscova-Repubblica, Milano",2.800,180 
,2 ,"Bilocale in via Fusetti, Navigli-Porta Genova, Milano",950,55 
 con ascensore,2 ,"Bilocale in via alberto da giussano, Ariosto-Magenta, Milano",2.417,100 
 con ascensore,2 ,"Bilocale in via filippo corridoni, San Magno-Sant'Ambrogio, Legnano",520,65 
 con ascensore,5 ,"Appartamento in corso di porta vittoria, Tribunale, Milano",3.500,200 
 con ascensore,8 ,"Appartamento in via alberto da giussano, Ariosto-Magenta, Milano",6.667,300 
 con ascensore,4 ,"Quadrilocale in Cenisio-Sarpi, Milano",1.850,130 
 con ascensore,3 ,"Trilocale in San Vittore-Washington, Milano",2.000,92 
 con ascensore,3 ,"Trilocale in Indipendenza-Regina Giovanna, Milano",1.750,90 
 con ascensore,,"Monolocale in via enrico cosenz, Bovisa, Milano",650,50 
 con ascensore,4 ,"Quadrilocale in via messina, Govone, Milano",2.117,130 
 con ascensore,3 ,"Trilocale in piazzale bacone, Abruzzi, Milano",1.665,180 
 con ascensore,6 ,"Appartamento in via legnano, Duomo-Castello, Milano",3.750,210 
,4 ,"Appartamento su due piani in via michele pericle negrotto, 31, Quarto Oggiaro-Euromilano, Milano",1.250,117 
 con ascensore,2 ,"Bilocale in via dei transiti, Brianza-Pasteur, Milano",850,53 
,,"Appartamento su due piani in via michele pericle negrotto, 31, Quarto Oggiaro-Euromilano, Milano",750,57 
 con ascensore,4 ,"Quadrilocale in crocetta mm in via bianca di savoia, Mercalli-Quadronno, Milano",2.600,130 
,2 ,"Casa indipendente in via giuseppe ripamonti, 186, Vigentino, Milano",1.000,85 
 senza ascensore,3 ,"Attico in via Giuseppe Giusti, Cenisio-Sarpi, Milano",1.170,90 
 con ascensore,5 ,"Appartamento in via Morigi, Zona Sant`Ambrogio-Università Cattolica, Milano",3.333,155 
 con ascensore,3 ,"Trilocale in via Regina Giovanna, Indipendenza-Regina Giovanna, Milano",2.292,110 
 con ascensore,4 ,"Quadrilocale in via Beatrice d'Este, Mercalli-Quadronno, Milano",2.100,140 
 con ascensore,3 ,"Trilocale in via malakoff, s.n.c, Corsico",1.100,105 
 con ascensore,3 ,"Trilocale in via giacinto bruzzesi, s.n.c, Lorenteggio-Giambellino, Milano",750,55 
 con ascensore,5 ,"Appartamento in corso Magenta, s.n.c, Tribunale, Milano",4.100,193 
 con ascensore,6 ,"Appartamento in via Cappuccio, Zona Sant`Ambrogio-Università Cattolica, Milano",5.834,320 
 con ascensore,6 ,"Appartamento su due piani in via dei Bossi, Duomo-Castello, Milano",20.834,902 
 con ascensore,4 ,"Appartamento su due piani in via Cernaia, Moscova-Repubblica, Milano",3.250,150 
 con ascensore,6 ,"Appartamento in via Borgonuovo, Brera-Montenapoleone, Milano",4.583,200 
 con ascensore,2 ,"Bilocale in via Bellezza, Bligny-Toscana, Milano",1.000,45 
,7 ,"Attico in via Gustavo Modena, Indipendenza-Regina Giovanna, Milano",6.000,275 
 senza ascensore,2 ,"Bilocale in Mazzini, s.n.c, Vetra-Missori, Milano",1.200,60 
 con ascensore,3 ,"Trilocale in Castel Morrone, 11, Indipendenza-Regina Giovanna, Milano",1.833,105 
 con ascensore,2 ,"Bilocale in via Ascanio Forza, Navigli-Porta Genova, Milano",1.000,70 
 con ascensore,3 ,"Trilocale in via ettore troilo, Navigli-Porta Genova, Milano",950,55 
 senza ascensore,2 ,"Bilocale in corso di porta ticinese, 83, Mercalli-Quadronno, Milano",1.100,48 
 con ascensore,4 ,"Quadrilocale in via giovanni spadolini, Vigentino, Milano",2.200,100 
 ,3 ,"Trilocale in via cesare tallone, Argonne-Corsica, Milano",1.400,80 
 senza ascensore,2 ,"Bilocale in via don minzoni, Canegrate",500,65 
 con ascensore,2 ,"Bilocale in via cesare balbo, Bligny-Toscana, Milano",1.050,50 
 con ascensore,2 ,"Bilocale in via giambellino, 96, Lorenteggio-Giambellino, Milano",520,40 
 con ascensore,2 ,"Bilocale in via franchino gaffurio, s.n.c, Centrale, Milano",800,65 
,2 ,Bilocale a Corbetta,550,55 
,2 ,"Bilocale in via copernico, 41, Greco-Villaggio dei Giornalisti, Milano",850,50 
 con ascensore,,"Monolocale in via ferdinando bocconi, s.n.c, Bligny-Toscana, Milano",550,28 
 senza ascensore,2 ,Bilocale a Corbetta,350,42 
 con ascensore,2 ,"Bilocale in via giulio romano, 15, Bligny-Toscana, Milano",850,52 
 con ascensore,,Monolocale a Cornaredo,390,35 
 con ascensore,3 ,Trilocale a Bernate Ticino,460,110 
,2 ,"Bilocale in via Milano, 16, Masate",500,52 
,,"Monolocale in piazzale loreto, s.n.c, Romagna, Milano",500,33 
 con ascensore,2 ,"Bilocale in via soperga, Brianza-Pasteur, Milano",1.040,50 
 con ascensore,3 ,"Trilocale in Istria, Milano",1.200,70 
,2 ,Bilocale a Magenta,500,65 
,4 ,Villetta a schiera a Bernate Ticino,1.100,250 
 con ascensore,5 ,"Appartamento in Sempione, Milano",3.080,250 
 con ascensore,3 ,"Trilocale in via gian galeazzo, 17, Mercalli-Quadronno, Milano",1.400,100 
 con ascensore,2 ,"Bilocale in porta romana, s.n.c, Tribunale, Milano",850,55 
 con ascensore,,"Monolocale in via bocconi, s.n.c, Bligny-Toscana, Milano",560,25 
 con ascensore,2 ,"Bilocale in via plinio, Abruzzi, Milano",850,60 
,,"Monolocale in piazza abbiategrasso, s.n.c, Chiesa Rossa, Milano",850,40 
 senza ascensore,2 ,"Bilocale in via sibari, Vigentino, Milano",518,60 
 senza ascensore,3 ,"Trilocale in via sibari, Vigentino, Milano",713,73 
,2 ,"Bilocale in Sempione, Milano",875,72 
 con ascensore,3 ,"Trilocale in corso xxii marzo, 53, Indipendenza-Regina Giovanna, Milano",1.200,95 
,2 ,"Bilocale in Rondò-Torretta, Sesto San Giovanni",650,50 
 con ascensore,,"Monolocale in via giuseppe biancardi, s.n.c, Fiera, Milano",600,35 
 ,2 ,"Bilocale in via rombon, Udine, Milano",700,45 
 ,3 ,"Trilocale in via privata gian pietro puricelli, Bande Nere, Milano",570,70 
 senza ascensore,2 ,"Bilocale in via lazzaro papi, s.n.c, Cinque Giornate-Montenero-Libia, Milano",1.000,50 
,2 ,"Bilocale in piazza dei daini, 4, Bicocca, Milano",700,50 
,2 ,"Bilocale in Brianza-Pasteur, Milano",1.200,65 
 con ascensore,3 ,Trilocale a Vimodrone,600,75 
,4 ,Quadrilocale a Corbetta,700,95 
 con ascensore,,"Monolocale in via bocconi, s.n.c, Bligny-Toscana, Milano",560,25 
,,"Monolocale in via meriggia, s.n.c, Settimo Milanese",380,35 
 con ascensore,3 ,"Trilocale in fornari, 22, Bande Nere, Milano",716,77 
 con ascensore,3 ,"Trilocale in Navigli-Porta Genova, Milano",2.167,110 
 con ascensore,2 ,"Bilocale in piazza risorgimento, 1, Melzo",400,55 
 con ascensore,2 ,"Bilocale in via mereghetti, Settimo Milanese",750,65 
 con ascensore,2 ,"Bilocale in via giuseppe mazzini, 54, Rozzano",500,55 
