elevator,rooms,address,price,size
 con ascensore,2 ,"Bilocale in via giovanni boccaccio, 11, Ariosto-Magenta, Milano",1.450,68 
 senza ascensore,5 ,"Appartamento in via savona, Navigli-Porta Genova, Milano",3.600,230 
 con ascensore,3 ,"Trilocale in via cassanese, 170, Segrate Centro, Segrate",700,120 
 con ascensore,2 ,"Bilocale in via gian galeazzo, 2, Bligny-Toscana, Milano",980,48 
 con ascensore,3 ,"Trilocale in Vittorio Emanuele-Augusto, Milano",3.083,115 
 con ascensore,4 ,"Attico in via della spiga, 9, Brera-Montenapoleone, Milano",2.500,140 
 con ascensore,3 ,"Trilocale in via gargano, s.n.c, Val di Sole-Fatima, Milano",1.300,85 
 con ascensore,7 ,"Appartamento in via fratelli gabba, s.n.c, Brera-Montenapoleone, Milano",10.000,320 
 con ascensore,5 ,"Appartamento su due piani in via venezia, 1, Cassina de' Pecchi",1.100,180 
,,"Monolocale in via arzaga, 25, Soderini, Milano",780,40 
 con ascensore,5 ,"Appartamento in via san vincenzo, s.n.c, Navigli-Porta Genova, Milano",2.400,180 
 con ascensore,2 ,"Bilocale in via plinio, 22, Abruzzi, Milano",1.050,50 
 con ascensore,2 ,"Bilocale in via plinio, 42, Abruzzi, Milano",950,50 
 con ascensore,4 ,"Quadrilocale in via alfredo soffredini, Precotto, Milano",1.200,110 
 con ascensore,2 ,"Attico in Palestro, Milano",1.300,80 
,2 ,"Bilocale in via giuseppe garibaldi, 4, Corsico",550,55 
,2 ,"Bilocale in via san rocco, 8, Bligny-Toscana, Milano",1.000,65 
 con ascensore,2 ,"Bilocale in via dell'unione, Vetra-Missori, Milano",2.250,80 
 con ascensore,2 ,"Bilocale in via motta, San Vittore-Washington, Milano",2.000,90 
 con ascensore,2 ,"Attico in via conservatorio, Palestro, Milano",2.000,130 
,4 ,"Villetta a schiera in via Togliatti, 10, Motta Visconti",600,200 
 senza ascensore,5 ,"Appartamento su due piani in vico Santa Maria Valle, Vetra-Missori, Milano",3.750,300 
 con ascensore,3 ,"Trilocale in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",2.580,95 
 con ascensore,5 ,"Appartamento in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",3.417,160 
 con ascensore,5 ,"Appartamento in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",2.792,150 
 con ascensore,,"Monolocale in via luigi settembrini, 7, Centrale, Milano",700,40 
 con ascensore,,"Monolocale in via garigliano, s.n.c, Garibaldi-Isola, Milano",800,35 
 con ascensore,3 ,"Trilocale in via saverio altamura, 8, Morgantini, Milano",1.000,100 
 con ascensore,3 ,"Trilocale in via giulio cesare procaccini, 69, Sempione, Milano",1.200,100 
,2 ,"Bilocale in via pavia, s.n.c, Navigli-Porta Genova, Milano",2.300,75 
 con ascensore,,"Monolocale in via angelo masina, 1, Dergano, Milano",550,40 
 con ascensore,2 ,"Bilocale in via sebastiano del piombo, 19, Fiera, Milano",850,60 
 con ascensore,3 ,"Trilocale in via filarete, s.n.c, Ariosto-Magenta, Milano",1.750,100 
 con ascensore,5 ,"Attico in via bigli, s.n.c, Brera-Montenapoleone, Milano",7.000,220 
 senza ascensore,4 ,Quadrilocale a Corsico,650,60 
 senza ascensore,2 ,Bilocale a Corsico,550,50 
,5 ,"Villetta a schiera in via Lombardia, 9, Cusago",2.200,225 
,,"Appartamento su due piani in via girolamo fracastoro, s.n.c, Gorla, Milano",700,46 
 con ascensore,4 ,"Quadrilocale in via carducci, 19, Zona Sant`Ambrogio-Università Cattolica, Milano",2.100,140 
 con ascensore,4 ,"Quadrilocale in san senatore, 4, Vetra-Missori, Milano",2.100,185 
 con ascensore,4 ,"Quadrilocale in via San Vittore, s.n.c, San Vittore-Washington, Milano",2.500,180 
 con ascensore,4 ,"Quadrilocale in via San Vittore, 7, San Vittore-Washington, Milano",2.500,180 
 con ascensore,5 ,"Appartamento in via bergamo, s.n.c, Cinque Giornate-Montenero-Libia, Milano",2.800,190 
 con ascensore,4 ,"Quadrilocale in via vincenzo monti, s.n.c, Ariosto-Magenta, Milano",3.666,210 
 con ascensore,5 ,"Appartamento in via lodovico ariosto, s.n.c, Ariosto-Magenta, Milano",2.666,210 
 con ascensore,4 ,"Quadrilocale in piazza della repubblica, s.n.c, Moscova-Repubblica, Milano",2.592,180 
 con ascensore,,"Monolocale in sansovino, 7, Romagna, Milano",1.100,55 
 con ascensore,3 ,"Attico in via venti settembre, 22, Ariosto-Magenta, Milano",1.750,95 
 senza ascensore,3 ,"Trilocale in via edmondo de amicis, Navigli-Porta Genova, Milano",1.250,81 
 con ascensore,6 ,"Appartamento in piazza giovanni giolitti, 8, Città Studi, Milano",2.300,200 
 con ascensore,4 ,"Quadrilocale in via fratelli zoia, Baggio, Milano",900,110 
 con ascensore,4 ,"Quadrilocale in largo oreste murani, 5, Città Studi, Milano",1.500,140 
 con ascensore,2 ,"Bilocale in via Don Monzoni, 27, Bovisa, Milano",650,45 
 con ascensore,2 ,"Bilocale in via monte rosa, s.n.c, Fiera, Milano",1.100,55 
 con ascensore,2 ,"Bilocale in via lambrate, 11, Teodosio-Porpora, Milano",665,55 
 con ascensore,2 ,"Attico in via lambrate, 11, Teodosio-Porpora, Milano",685,50 
 con ascensore,2 ,"Bilocale in via vincenzo capelli, 3, Garibaldi-Isola, Milano",2.000,65 
,2 ,"Bilocale in corso genova, 27, Navigli-Porta Genova, Milano",900,70 
 con ascensore,2 ,"Bilocale in via giovanni da cermenate, 76, Chiesa Rossa, Milano",700,65 
 con ascensore,2 ,"Bilocale in via san vittore, 13, San Vittore-Washington, Milano",1.190,65 
 con ascensore,3 ,"Trilocale in Navigli-Porta Genova, Milano",2.200,100 
,3 ,"Trilocale in corso magenta, 24, Zona Sant`Ambrogio-Università Cattolica, Milano",2.500,105 
 con ascensore,4 ,"Quadrilocale in Navigli-Porta Genova, Milano",2.500,170 
 con ascensore,4 ,"Quadrilocale in via martiri di cefalonia, 53, San Donato Milanese",1.300,150 
 con ascensore,2 ,"Attico in via luigi capuana, 56, San Carlo-San Paolo-Stellanda, Rho",650,95 
 senza ascensore,2 ,"Bilocale in via Bruno Buozzi, 6, Corsico",580,60 
,5 ,"Villetta a schiera in via Lombardia, 9, Cusago",2.200,225 
 con ascensore,6 ,"Appartamento su due piani in via giovanni mayr, 10, Palestro, Milano",5.400,290 
 senza ascensore,3 ,Trilocale a Corsico,600,55 
 con ascensore,,"Monolocale in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",1.000,55 
 con ascensore,2 ,"Bilocale in via carlo crivelli, Mercalli-Quadronno, Milano",1.500,60 
 con ascensore,3 ,"Trilocale in via venti settembre, Ariosto-Magenta, Milano",1.750,95 
 con ascensore,3 ,"Trilocale in via mario pagano, Ariosto-Magenta, Milano",1.900,95 
 con ascensore,3 ,"Attico in via soperga, 47, Brianza-Pasteur, Milano",1.200,60 
 con ascensore,4 ,"Quadrilocale in via luigi alamanni, 13, Vigentino, Milano",1.350,110 
 con ascensore,,"Monolocale in via san gimignano, 11, Soderini, Milano",570,30 
 con ascensore,3 ,"Trilocale in largo francesco richini, Vittorio Emanuele-Augusto, Milano",2.500,115 
 con ascensore,5 ,"Appartamento su due piani in via del lauro, s.n.c, Duomo-Castello, Milano",8.000,270 
 con ascensore,4 ,"Quadrilocale in via de Amicis, s.n.c, Navigli-Porta Genova, Milano",3.500,195 
 con ascensore,3 ,"Trilocale in via Dell'Usignolo, 1, Bisceglie, Milano",1.200,76 
 con ascensore,,"Monolocale in via privata Della Torre, 36, Gorla, Milano",550,28 
 con ascensore,2 ,"Bilocale in corso di porta romana, 25, Vittorio Emanuele-Augusto, Milano",1.670,70 
 con ascensore,,"Monolocale in via privata san mansueto, 3, Bligny-Toscana, Milano",520,30 
 con ascensore,3 ,"Trilocale in via don francesco beniamino della torre, Quarto Oggiaro-Euromilano, Milano",800,120 
 con ascensore,4 ,"Quadrilocale in via luca beltrami, Duomo-Castello, Milano",3.541,190 
 con ascensore,3 ,"Trilocale in via edmondo de amicis, Navigli-Porta Genova, Milano",2.083,120 
 con ascensore,3 ,"Trilocale in via tevere, Lainate",900,100 
 con ascensore,5 ,"Appartamento in via bernardino telesio, Ariosto-Magenta, Milano",5.833,350 
 con ascensore,3 ,"Trilocale in piazza carlo caneva, Sempione, Milano",1.084,70 
 con ascensore,3 ,"Trilocale in via palermo, Moscova-Repubblica, Milano",2.500,125 
 con ascensore,4 ,"Quadrilocale in via giuseppe e francesco carlo maggiolini, Palestro, Milano",3.750,270 
 con ascensore,2 ,"Bilocale in via sannio, 24, Martini-Cuoco, Milano",900,70 
 con ascensore,7 ,"Appartamento in via alberto da giussano, Ariosto-Magenta, Milano",5.834,280 
 con ascensore,3 ,"Trilocale in via palermo, Moscova-Repubblica, Milano",1.208,95 
,3 ,"Trilocale in via martiri oscuri, 14, Brianza-Pasteur, Milano",750,90 
 con ascensore,4 ,"Quadrilocale in via giovanni pierluigi da palestrina, s.n.c, Brianza-Pasteur, Milano",1.600,140 
 con ascensore,4 ,"Quadrilocale in via gaetano donizetti, 1, Palestro, Milano",1.550,90 
 con ascensore,4 ,"Quadrilocale in via gaetano donizetti, 1, Palestro, Milano",1.750,120 
 con ascensore,3 ,"Trilocale in corso buenos aires, 5, Palestro, Milano",2.110,100 
 con ascensore,3 ,"Trilocale in via vittoria colonna, 53, Fiera, Milano",2.050,100 
 con ascensore,2 ,"Bilocale in via tito livio, Martini-Cuoco, Milano",750,60 
,3 ,"Trilocale in via antonio salieri, 4, Teodosio-Porpora, Milano",1.100,95 
 con ascensore,3 ,"Trilocale in via marghera, s.n.c, Ariosto-Magenta, Milano",2.430,100 
 con ascensore,2 ,"Bilocale in via privata degli orombelli, 7, Città Studi, Milano",650,60 
 con ascensore,8 ,"Appartamento su due piani in corso venezia, s.n.c, Palestro, Milano",10.800,408 
 con ascensore,4 ,"Attico in via fatebenefratelli, 9, Moscova-Repubblica, Milano",3.500,160 
 con ascensore,4 ,"Quadrilocale in corso sempione, s.n.c, Portello-Tre Torri, Milano",2.630,130 
 con ascensore,3 ,"Trilocale in via vigilio inama, 20, Città Studi, Milano",900,80 
 con ascensore,2 ,"Attico in via giovanni pacini, 28, Città Studi, Milano",1.050,60 
 con ascensore,5 ,"Appartamento in via bigli, 15, Brera-Montenapoleone, Milano",5.750,200 
 con ascensore,2 ,"Bilocale in via gabriele d'annunzio, 1, Navigli-Porta Genova, Milano",950,45 
 con ascensore,4 ,"Quadrilocale in via fratelli gabba, s.n.c, Brera-Montenapoleone, Milano",6.660,225 
 con ascensore,2 ,"Bilocale in via mecenate, 6, Mecenate, Milano",610,50 
 con ascensore,7 ,"Appartamento in via michelangelo buonarroti, 35, Fiera, Milano",3.334,250 
 con ascensore,2 ,"Attico in via santa maria alla porta, 9, Zona Sant`Ambrogio-Università Cattolica, Milano",2.655,93 
 con ascensore,4 ,"Attico in via Mosè Bianchi, Fiera, Milano",1.100,91 
 con ascensore,2 ,"Bilocale in via lombardia, 68, Teodosio-Porpora, Milano",850,70 
 con ascensore,2 ,"Bilocale in corso vercelli, 34, Ariosto-Magenta, Milano",1.200,70 
 con ascensore,7 ,"Attico in via iginio ugo tarchetti, 1, Moscova-Repubblica, Milano",3.000,200 
 con ascensore,3 ,"Trilocale in via venti settembre, Ariosto-Magenta, Milano",1.750,105 
