size,elevator,address,rooms,price
89 ,,"Trilocale in via mirabello, s.n.c, Carugate",3 ,235.713
114 ,,"Quadrilocale in via vincenzo russo, 5, Turro, Milano",4 ,228.000
63 , senza ascensore,"Bilocale in via privata Aquila, s.n.c, Parco Forlanini, Milano",2 ,99.000
65 , con ascensore,Bilocale a Abbiategrasso,2 ,109.000
145 , con ascensore,"Quadrilocale in piazza insubria, 16, Martini-Cuoco, Milano",4 ,445.000
60 ,,"Bilocale in via bordighera, s.n.c, Cermenate-Meda, Milano",2 ,210.000
105 , con ascensore,Trilocale a Abbiategrasso,3 ,195.000
77 , con ascensore,"Trilocale in via zara, 126, Istria, Milano",3 ,235.000
50 , ,"Bilocale in via vittorio bergomi, 23, Rondò-Torretta, Sesto San Giovanni",2 ,80.000
220 , con ascensore,"Appartamento in Romagna, Milano",6 ,945.000
65 , con ascensore,Bilocale a Locate Triulzi,2 ,149.000
130 , con ascensore,Quadrilocale a Buccinasco,4 ,265.000
84 ,,"Bilocale in via 4 Novembre, s.n.c, Settimo Milanese",2 ,183.120
170 ,,"Trilocale in via don ernesto vercesi, 11, Baggio, Milano",3 ,300.000
90 , senza ascensore,"Appartamento su due piani in via ripa di porta ticinese, 49, Navigli-Porta Genova, Milano",3 ,350.000
60 , con ascensore,"Bilocale in via delle forze armate, Bande Nere, Milano",2 ,155.000
209 , con ascensore,"Quadrilocale in Ariosto-Magenta, Milano",4 ,1.490.000
68 , con ascensore,"Bilocale in via giuseppe meda, 27, Cermenate-Meda, Milano",2 ,300.000
137 , con ascensore,"Quadrilocale in via john fitzgerald kennedy, 18, San Donato Milanese",4 ,425.000
185 , con ascensore,"Appartamento in via ravenna, 6, San Donato Milanese",6 ,610.000
210 , con ascensore,"Appartamento in via tunisia, s.n.c, Centrale, Milano",5 ,1.140.000
68 ,,"Bilocale in via Gallarate, 430, Gallaratese, Milano",2 ,165.000
95 ,,"Trilocale in via Gallarate, 430, Gallaratese, Milano",3 ,235.000
98 ,,"Trilocale in via Gallarate, 430, Gallaratese, Milano",3 ,256.000
166 ,,"Quadrilocale in via Gallarate, 430, Gallaratese, Milano",4 ,470.000
57 , con ascensore,"Bilocale in via privata urbino, 5, Comasina-Bruzzano, Milano",2 ,125.000
66 , con ascensore,"Bilocale in via antonio aldini, 16, Quarto Oggiaro-Euromilano, Milano",2 ,100.000
80 , con ascensore,"Bilocale in via san michele del carso, San Vittore-Washington, Milano",2 ,450.000
230 , senza ascensore,"Appartamento in via savona, Navigli-Porta Genova, Milano",5 ,1.130.000
125 , con ascensore,"Quadrilocale in piazza sant'agostino, San Vittore-Washington, Milano",4 ,700.000
79 , con ascensore,"Trilocale in via padana superiore, 213, Vimodrone",3 ,140.000
55 ,,"Bilocale in alzaia naviglio pavese, 34, Navigli-Porta Genova, Milano",2 ,238.000
55 ,,"Bilocale in via giovanni segantini, 10, Navigli-Porta Genova, Milano",2 ,259.000
250 , con ascensore,"Attico in stampa, s.n.c, Vetra-Missori, Milano",6 ,1.600.000
85 ,,"Trilocale in via giovanni segantini, 10, Navigli-Porta Genova, Milano",3 ,320.000
86 ,,"Bilocale in via Piranesi, 44, Argonne-Corsica, Milano",2 ,412.000
87 ,,"Bilocale in via Piranesi, 44, Argonne-Corsica, Milano",2 ,418.000
86 ,,"Bilocale in via Piranesi, 44, Argonne-Corsica, Milano",2 ,421.000
118 ,,"Trilocale in via Piranesi, 44, Argonne-Corsica, Milano",3 ,532.000
193 ,,"Attico in via Piranesi, 44, Argonne-Corsica, Milano",5 ,1.169.000
60 , con ascensore,"Bilocale in via acerenza, 9, Dergano, Milano",2 ,108.000
70 , senza ascensore,"Bilocale in via Camozzi, 8, Baggio, Milano",2 ,89.000
170 , con ascensore,"Appartamento in via Mercantini, 4, Bovisa, Milano",5 ,585.000
135 , con ascensore,"Quadrilocale in via Belinzaghi, 5, Istria, Milano",4 ,540.000
180 , con ascensore,"Appartamento in via stromboli, 10, San Vittore-Washington, Milano",5 ,740.000
225 , con ascensore,"Attico in via Camillo Prampolini, 3, Dergano, Milano",5 ,750.000
57 ,,"Monolocale in via Cialdini, 99, Affori, Milano",,185.000
180 , con ascensore,"Quadrilocale in via emilio caldara, s.n.c, Cinque Giornate-Montenero-Libia, Milano",4 ,770.000
118 , con ascensore,"Trilocale in via Europa, 2, San Donato Milanese",3 ,325.000
400 ,,"Villa in via roma, s.n.c, Cesate",6 ,820.000
75 ,,"Bilocale in via delle ande, 12, Gallaratese, Milano",2 ,155.000
120 ,,"Quadrilocale in vincenzo monti, 92, Portello-Tre Torri, Milano",4 ,578.000
82 , con ascensore,"Bilocale in via Michele Lessona, 6, Quarto Oggiaro-Euromilano, Milano",2 ,99.000
208 , con ascensore,"Quadrilocale in via ludovico di breme, s.n.c, Varesina-Testori, Milano",4 ,705.000
118 , senza ascensore,"Trilocale in via cerca, 13, Settala",3 ,178.000
73 , con ascensore,"Appartamento su due piani in via harar, 7, San Siro, Milano",2 ,220.000
600 ,,"Villa in via pusiano, 26, Udine, Milano",15 ,1.350.000
170 , con ascensore,"Quadrilocale in via panzeri, s.n.c, Navigli-Porta Genova, Milano",4 ,900.000
72 , senza ascensore,"Bilocale in via aldo moro, 22, Settala",2 ,135.000
140 , con ascensore,"Appartamento in via beato angelico, 23, Città Studi, Milano",5 ,540.000
154 , con ascensore,"Trilocale in via senato, s.n.c, Brera-Montenapoleone, Milano",3 ,920.000
160 , con ascensore,"Quadrilocale in via don carlo gnocchi, s.n.c, San Siro, Milano",4 ,595.000
120 , con ascensore,"Trilocale in via guido rossa, 14, Buccinasco",3 ,330.000
200 , con ascensore,"Appartamento in via amedeo d'aosta, 7, Romagna, Milano",7 ,850.000
160 , con ascensore,"Appartamento in piazza del tricolore, s.n.c, Palestro, Milano",5 ,810.000
135 ,,"Appartamento in via tommaso gulli, 49, Bande Nere, Milano",5 ,450.000
160 ,,"Casa indipendente in via galileo galilei, 1, San Carlo-San Paolo-Stellanda, Rho",6 ,195.000
160 , con ascensore,"Quadrilocale in corso indipendenza, 12, Indipendenza-Regina Giovanna, Milano",4 ,810.000
110 , con ascensore,"Appartamento su due piani in via ucelli di nemi, 39, Rogoredo-Santa Giulia, Milano",3 ,210.000
120 ,,"Appartamento su due piani in via giovanni rasori, 7, Ariosto-Magenta, Milano",,780.000
80 ,,"Appartamento su due piani in via emilio gola, 31, Navigli-Porta Genova, Milano",2 ,320.000
55 ,,"Appartamento su due piani in via giovanni pastorelli, 19, Navigli-Porta Genova, Milano",2 ,220.000
90 , con ascensore,"Trilocale in via benvenuto cellini, 18, Corsico",3 ,198.000
118 , con ascensore,"Trilocale in via veneto, 13, Peschiera Borromeo",3 ,215.000
160 , con ascensore,"Quadrilocale in via tertulliano, 25, Martini-Cuoco, Milano",4 ,660.000
72 , senza ascensore,"Bilocale in via andrea ponti, 6, Naviglio Grande-Barona, Milano",2 ,285.000
73 , con ascensore,"Bilocale in corso di porta ticinese, 3, Vetra-Missori, Milano",2 ,480.000
60 , con ascensore,"Bilocale in via piero martinetti, 28, Bande Nere, Milano",2 ,170.000
165 , con ascensore,"Quadrilocale in via pompeo neri, s.n.c, Soderini, Milano",4 ,650.000
100 , con ascensore,"Trilocale in via privata paolo gerolamo biumi, 28, Gorla, Milano",3 ,220.000
140 , con ascensore,"Appartamento su due piani in via trieste, 7, Cassina de' Pecchi",6 ,480.000
85 , con ascensore,"Trilocale in via privata santi nabore e felice, 7, Bande Nere, Milano",3 ,245.000
170 ,,"Villetta a schiera in parri, 95, San Donato Milanese",5 ,325.000
74 , con ascensore,"Bilocale in via trezzo d'adda, 9, Solari-Savona-Tortona, Milano",2 ,445.000
130 , con ascensore,"Quadrilocale in via zanella, 10, Argonne-Corsica, Milano",4 ,750.000
105 , con ascensore,"Trilocale in via pietro nenni, 5, Villaggio Ambrosiano, Segrate",3 ,228.000
220 , con ascensore,"Appartamento in via conchetta, 6, Navigli-Porta Genova, Milano",5 ,648.000
140 , con ascensore,"Appartamento su due piani in corso Lodi, Brenta, Milano",4 ,545.000
90 , con ascensore,"Trilocale in via Koch, Bisceglie, Milano",3 ,235.000
320 ,,"Appartamento su due piani in via Villa Pizzone, Varesina-Testori, Milano",6 ,720.000
82 , con ascensore,"Bilocale in via marco d'agrate, Corvetto, Milano",2 ,227.000
55 , senza ascensore,"Bilocale in via giuseppe garibaldi, 18, Cesano Boscone",2 ,99.000
55 , senza ascensore,"Bilocale in via mac mahon, 117, Varesina-Testori, Milano",2 ,100.000
145 , con ascensore,"Trilocale in via salvatore pianell, 10, Cà Granda, Milano",3 ,395.000
110 ,,"Quadrilocale in via marcantonio dal re, 19, Accursio, Milano",4 ,195.000
180 , con ascensore,"Appartamento in via cesare balbo, s.n.c, Bligny-Toscana, Milano",5 ,698.000
121 , senza ascensore,"Trilocale in via gustavo modena, 31, Indipendenza-Regina Giovanna, Milano",3 ,499.000
95 , con ascensore,"Trilocale in piazzale ferdinando martini, 1, Martini-Cuoco, Milano",3 ,358.000
55 , con ascensore,"Bilocale in via privata pantelleria, 4, Varesina-Testori, Milano",2 ,138.000
98 , con ascensore,"Trilocale in via piave, 17, San Donato Milanese",3 ,280.000
45 , con ascensore,"Bilocale in via lunigiana, 14, Greco-Villaggio dei Giornalisti, Milano",2 ,160.000
68 , con ascensore,"Bilocale in via certosa, 41, Accursio, Milano",2 ,268.000
127 , con ascensore,"Trilocale in via corsica, 99, Argonne-Corsica, Milano",3 ,380.000
45 , senza ascensore,"Bilocale in via privata benedetto cacciatori, 9, Axum-San Carlo, Milano",2 ,73.000
90 , con ascensore,"Trilocale in via giordano bruno, 16, Cenisio-Sarpi, Milano",3 ,485.000
73 , con ascensore,"Bilocale in via sant'abbondio, 15, Chiesa Rossa, Milano",2 ,189.000
65 , con ascensore,"Bilocale in via murillo, 1, Morgantini, Milano",2 ,228.000
85 ,,"Trilocale in via euripide, 9, Fiera, Milano",3 ,299.000
150 , con ascensore,"Quadrilocale in corso lodi, 83, Brenta, Milano",4 ,445.000
55 ,,"Bilocale in via privata eraclito, 9, Precotto, Milano",2 ,125.000
200 , con ascensore,"Appartamento in corso buenos aires, s.n.c, Abruzzi, Milano",6 ,890.000
133 , con ascensore,"Quadrilocale in via bruxelles, 1, San Donato Milanese",4 ,420.000
145 , con ascensore,"Trilocale in via bergamo, s.n.c, Cinque Giornate-Montenero-Libia, Milano",3 ,1.150.000
60 , con ascensore,"Bilocale in via giovanni amendola, 36, Novate Milanese",2 ,150.000
270 , con ascensore,"Appartamento in via patroclo, 15, San Siro, Milano",6 ,1.150.000
55 , con ascensore,"Bilocale in via conchetta, 8, Navigli-Porta Genova, Milano",2 ,298.000
89 , con ascensore,"Bilocale in via alessandro manzoni, s.n.c, Basiglio",2 ,205.000
50 , senza ascensore,Bilocale a Vimodrone,2 ,120.000
135 , con ascensore,"Quadrilocale in via guido ucelli di nemi, 3, Rogoredo-Santa Giulia, Milano",4 ,250.000
65 , con ascensore,"Attico in piazza antonio gramsci, 6, Sempione, Milano",2 ,315.000
115 , con ascensore,"Trilocale in via pietro mascagni, 16, Melzo",3 ,170.000
200 , con ascensore,"Attico in via ferrucci, 8, Portello-Tre Torri, Milano",5 ,1.000.000
85 , con ascensore,"Trilocale in via dessie, 15, San Siro, Milano",3 ,249.000
140 , con ascensore,"Quadrilocale in via fabio filzi, 41, Centrale, Milano",4 ,1.000.000
50 ,,"Bilocale in segantini, s.n.c, Navigli-Porta Genova, Milano",2 ,269.000
80 , senza ascensore,"Trilocale in fioravanti, 3, Cenisio-Sarpi, Milano",3 ,299.000
180 ,,"Villetta a schiera in via pietro nenni, 142, Locate Triulzi",5 ,359.000
94 , con ascensore,"Trilocale in via Cialdini, 99, Affori, Milano",3 ,353.000
67 , con ascensore,"Attico in via Giovanni Paisiello, 10, Romagna, Milano",2 ,340.000
